序号,书名,作家,译者,出版社,初版时间,定价,评分,评分人数,简述,图片链接
61,史记（全十册）,司马迁,（索隐）司马贞，（正义）张守节,中华书局,1982-11,125.00,9.5,21797,史家之绝唱，无韵之离骚,https://img9.doubanio.com/view/subject/s/public/s1953384.jpg
62,中国少年儿童百科全书（全四册）,林崇德 主编,,浙江教育出版社,1991-4,168.00元,9.4,14256,None,https://img9.doubanio.com/view/subject/s/public/s34069455.jpg
63,历史深处的忧虑,林达,,生活·读书·新知三联书店,1997-5,19.00元,9.0,42251,窥见美国社会的一扇窗,https://img9.doubanio.com/view/subject/s/public/s1768916.jpg
64,悲惨世界（上中下）,[法] 雨果,李丹,人民文学出版社,1992-6,66.00元,9.0,58583,现实主义与浪漫主义的至高杰作,https://img9.doubanio.com/view/subject/s/public/s4521754.jpg
65,鼠疫,[法] 阿尔贝·加缪,刘方,上海译文出版社,2013-8,34.00元,9.0,54306,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理,https://img2.doubanio.com/view/subject/s/public/s27003191.jpg
66,上帝掷骰子吗,曹天元,,辽宁教育出版社,2006-1,32.00元,9.2,30798,量子物理史话,https://img9.doubanio.com/view/subject/s/public/s1486674.jpg
67,神雕侠侣,金庸,有1996年11月北平第4次印本,生活·读书·新知三联书店,1994-5,76.80元,8.9,93279,至情至性，情大于武,https://img9.doubanio.com/view/subject/s/public/s26018916.jpg
68,永恒的终结,[美] 艾萨克·阿西莫夫,崔正男,江苏凤凰文艺出版社,2014-9,32.00元,9.0,36932,关于时间旅行的终极奥秘和恢宏构想,https://img2.doubanio.com/view/subject/s/public/s27409671.jpg
69,文学回忆录,木心 口述,,广西师范大学出版社,2013-1-10,98.00元,9.1,40667,木心留给世界的礼物,https://img1.doubanio.com/view/subject/s/public/s24611679.jpg
70,西游记（全二册）,吴承恩,黄肃秋 注释,人民文学出版社,2004-8,47.20元,8.9,74729,神魔皆有人情，精魅亦通世故,https://img9.doubanio.com/view/subject/s/public/s1627374.jpg
